Date,NFCI,ANFCI,Risk (NFCI),Credit (NFCI),Leverage (NFCI),Nonfinancial_Leverage (NFCI)
4/26/2000,-0.046002479,0.159458379,-0.020462792,0.125904442,0.83840636,0.703206564
4/27/2000,-0.046002479,0.159458379,-0.020462792,0.125904442,0.83840636,0.703206564
4/28/2000,-0.032083226,0.180092395,0.00433512,0.135510781,0.766261208,0.713721692
4/29/2000,-0.032083226,0.180092395,0.00433512,0.135510781,0.766261208,0.713721692
4/30/2000,-0.032083226,0.180092395,0.00433512,0.135510781,0.766261208,0.713721692
5/1/2000,-0.032083226,0.180092395,0.00433512,0.135510781,0.766261208,0.713721692
5/2/2000,-0.032083226,0.180092395,0.00433512,0.135510781,0.766261208,0.713721692
5/3/2000,-0.032083226,0.180092395,0.00433512,0.135510781,0.766261208,0.713721692
5/4/2000,-0.032083226,0.180092395,0.00433512,0.135510781,0.766261208,0.713721692
5/5/2000,-0.016259815,0.21942864,0.029767692,0.145191964,0.696686088,0.723630365
5/6/2000,-0.016259815,0.21942864,0.029767692,0.145191964,0.696686088,0.723630365
5/7/2000,-0.016259815,0.21942864,0.029767692,0.145191964,0.696686088,0.723630365
5/8/2000,-0.016259815,0.21942864,0.029767692,0.145191964,0.696686088,0.723630365
5/9/2000,-0.016259815,0.21942864,0.029767692,0.145191964,0.696686088,0.723630365
5/10/2000,-0.016259815,0.21942864,0.029767692,0.145191964,0.696686088,0.723630365
5/11/2000,-0.016259815,0.21942864,0.029767692,0.145191964,0.696686088,0.723630365
5/12/2000,-0.001044751,0.265910453,0.05347138,0.154852046,0.630376963,0.732826722
5/13/2000,-0.001044751,0.265910453,0.05347138,0.154852046,0.630376963,0.732826722
5/14/2000,-0.001044751,0.265910453,0.05347138,0.154852046,0.630376963,0.732826722
5/15/2000,-0.001044751,0.265910453,0.05347138,0.154852046,0.630376963,0.732826722
5/16/2000,-0.001044751,0.265910453,0.05347138,0.154852046,0.630376963,0.732826722
5/17/2000,-0.001044751,0.265910453,0.05347138,0.154852046,0.630376963,0.732826722
5/18/2000,-0.001044751,0.265910453,0.05347138,0.154852046,0.630376963,0.732826722
5/19/2000,0.013126876,0.309886538,0.073177444,0.164997118,0.56880796,0.741233694
5/20/2000,0.013126876,0.309886538,0.073177444,0.164997118,0.56880796,0.741233694
5/21/2000,0.013126876,0.309886538,0.073177444,0.164997118,0.56880796,0.741233694
5/22/2000,0.013126876,0.309886538,0.073177444,0.164997118,0.56880796,0.741233694
5/23/2000,0.013126876,0.309886538,0.073177444,0.164997118,0.56880796,0.741233694
5/24/2000,0.013126876,0.309886538,0.073177444,0.164997118,0.56880796,0.741233694
5/25/2000,0.013126876,0.309886538,0.073177444,0.164997118,0.56880796,0.741233694
5/26/2000,0.025166531,0.341450806,0.08735045,0.175557227,0.511716222,0.748800787
5/27/2000,0.025166531,0.341450806,0.08735045,0.175557227,0.511716222,0.748800787
5/28/2000,0.025166531,0.341450806,0.08735045,0.175557227,0.511716222,0.748800787
5/29/2000,0.025166531,0.341450806,0.08735045,0.175557227,0.511716222,0.748800787
5/30/2000,0.025166531,0.341450806,0.08735045,0.175557227,0.511716222,0.748800787
5/31/2000,0.025166531,0.341450806,0.08735045,0.175557227,0.511716222,0.748800787
6/1/2000,0.025166531,0.341450806,0.08735045,0.175557227,0.511716222,0.748800787
6/2/2000,0.03252066,0.355389215,0.093169407,0.186217412,0.4584559,0.755504032
6/3/2000,0.03252066,0.355389215,0.093169407,0.186217412,0.4584559,0.755504032
